ITERATION	TESTCASE	DESCRIPTION	TRACKID	STARTDATE	ENDDATE	TASK	COUNTERS	VALUE(ms)	SIZE	NAME	
1	PLM	01.00 - Enable the first Event	0	09.51.19,83	09.51.19,85	RESOURCE	NETWORK	19	1735	http://vmtestbaring:20200/server/api/ClientWebDesktop	
1	PLM	01.00 - Enable the first Event	0	09.51.19,73	09.51.19,85	LOG	REQTIME	111	0		
1	PLM	01.02 - Enable the first Event	0	09.51.22,74	09.51.23,32	LOG	TOTAL	578	
1	PLM	01.02 - Enable the first Event	0	09.51.22,75	09.51.22,82	RESOURCE	NETWORK	66	1576	http://vmtestbaring:20200/server/api/ClientWebDesktop	
1	PLM	01.02 - Enable the first Event	0	09.51.22,75	09.51.22,77	RESOURCE	NETWORK	15	897	http://vmtestbaring:20200/server/api/ClientWebDesktop	
1	PLM	01.02 - Enable the first Event	0	09.51.22,76	09.51.22,81	RESOURCE	NETWORK	52	1188	http://vmtestbaring:20200/server/api/ClientWebDesktop	
1	PLM	01.02 - Enable the first Event	0	09.51.22,82	09.51.22,84	RESOURCE	NETWORK	22	1526	http://vmtestbaring:20200/server/api/ClientWebDesktop	
1	PLM	01.02 - Enable the first Event	0	09.51.22,75	09.51.22,84	LOG	REQTIME	90	0		
1	PLM	03.01 - Click on Hamburger icon -> Menu	0	09.51.28,21	09.51.28,62	LOG	TOTAL	406	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.35,80	09.51.37,21	LOG	TOTAL	1406	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.35,81	09.51.35,87	RESOURCE	NETWORK	64	11558	http://vmtestbaring:20200/Plm/0.20809397a2bf21ac3fb5.js	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.35,81	09.51.35,87	RESOURCE	NETWORK	63	9589	http://vmtestbaring:20200/Plm/2.9ea23ae46f6ce0ef7350.js	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.35,81	09.51.35,88	RESOURCE	NETWORK	72	16714	http://vmtestbaring:20200/Plm/12.39a1f50b1bda10eb05ce.js	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.35,95	09.51.35,96	RESOURCE	NETWORK	12	1236	http://vmtestbaring:20200/server/api/ClientWebDesktop	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.35,96	09.51.35,96	RESOURCE	NETWORK	5	653	http://vmtestbaring:20200/Plm/resources/icons/grid-icon.svg	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,05	09.51.36,21	RESOURCE	NETWORK	165	2559	http://vmtestbaring:20200/server/api/ClientWebDesktop	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,31	09.51.36,38	RESOURCE	NETWORK	65	15022	http://vmtestbaring:20200/server/api/ClientWebDesktop	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,43	09.51.36,44	RESOURCE	NETWORK	11	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,1782,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,74	09.51.36,75	RESOURCE	NETWORK	12	20288	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,43,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,74	09.51.36,77	RESOURCE	NETWORK	31	11958	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,1783,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,74	09.51.36,75	RESOURCE	NETWORK	13	16891	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,44,10	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,74	09.51.36,76	RESOURCE	NETWORK	16	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,296,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,74	09.51.36,76	RESOURCE	NETWORK	17	12472	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,352,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,74	09.51.36,76	RESOURCE	NETWORK	19	33281	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,332,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,74	09.51.36,76	RESOURCE	NETWORK	21	33281	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,1777,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,74	09.51.36,76	RESOURCE	NETWORK	22	30815	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,45,10	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,74	09.51.36,77	RESOURCE	NETWORK	25	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,406,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,74	09.51.36,77	RESOURCE	NETWORK	26	17587	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,80,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,74	09.51.36,77	RESOURCE	NETWORK	28	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,333,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,74	09.51.36,77	RESOURCE	NETWORK	29	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,445,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,74	09.51.36,78	RESOURCE	NETWORK	32	8765	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,99,7	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,78	RESOURCE	NETWORK	33	30072	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,115,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,78	RESOURCE	NETWORK	34	32943	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,105,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,78	RESOURCE	NETWORK	36	14628	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,97,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,79	RESOURCE	NETWORK	39	22990	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,113,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,79	RESOURCE	NETWORK	40	18654	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,123,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,79	RESOURCE	NETWORK	42	20288	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,92,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,79	RESOURCE	NETWORK	47	34164	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,108,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,80	RESOURCE	NETWORK	48	7796	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,73,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,80	RESOURCE	NETWORK	51	25944	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,103,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,80	RESOURCE	NETWORK	53	24913	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,94,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,80	RESOURCE	NETWORK	55	11931	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,110,1	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,81	RESOURCE	NETWORK	57	29178	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,93,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,81	RESOURCE	NETWORK	58	32150	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,109,0	
1	PLM	04.02 - Click on Hamburger icon -> Collection Plan -> All Collections	0	09.51.36,75	09.51.36,81	RESOURCE	NETWORK	61	41029	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,125,0	
